loan_id,loan_payments,has_disponent,mean_balance,min_balance,crime rate growth,has_card,account_frequency_issuance after transaction,account_frequency_monthly issuance,account_frequency_weekly issuance,status
5314,8033,False,12250.0,1100.0,-0.0019090410496561,False,0.0,0.0,1.0,-1
5316,4610,False,52083.859459459454,700.0,-0.0020938877995546,False,0.0,1.0,0.0,1
6863,2118,False,30060.954166666663,800.0,0.0005390351271224,False,0.0,1.0,0.0,1
5325,2939,False,41297.48,1000.0,-0.0017390227705052,False,0.0,1.0,0.0,1
7240,4579,False,57188.21111111111,600.0,-0.0011790135586559,False,0.0,0.0,1.0,1
6687,3660,True,46318.55294117647,500.0,0.0051556907327386,False,0.0,1.0,0.0,1
7284,4399,False,22198.17906976744,1000.0,0.0005782706306551,False,0.0,1.0,0.0,1
6111,7281,False,37485.45625,1000.0,0.0006117305449295,False,0.0,1.0,0.0,-1
7235,3217,False,46715.8,8897.0,0.0024045601776545,False,0.0,0.0,1.0,1
5997,4876,False,44131.16923076923,800.0,-0.0017390227705052,False,0.0,1.0,0.0,1
7121,609,True,34272.21333333333,1100.0,0.0014964149717909,False,0.0,1.0,0.0,1
6077,3317,False,69954.57169811321,800.0,0.001505596272939,False,0.0,1.0,0.0,1
6228,7742,False,51760.01617647058,200.0,0.0008751556767309,False,0.0,0.0,1.0,-1
6356,2650,False,41562.32340425532,200.0,0.0044344042838018,False,0.0,0.0,1.0,1
5523,2608,False,37510.49473684211,600.0,-0.0011790135586559,False,1.0,0.0,0.0,1
6456,3918,False,60382.08571428573,200.0,-0.0020938877995546,False,1.0,0.0,0.0,1
7104,4329,False,45198.15294117647,800.0,0.0011536041389918,False,0.0,1.0,0.0,1
6820,3179,False,37462.093103448286,900.0,0.0111456629428699,False,0.0,1.0,0.0,1
6876,7218,False,25714.046666666665,800.0,0.0007139363010166,False,0.0,1.0,0.0,1
7097,3151,False,50009.90869565218,400.0,-6.450447661067678e-05,False,0.0,1.0,0.0,-1
4959,3373,True,32590.624074074065,1100.0,0.0111456629428699,False,0.0,1.0,0.0,1
6499,3373,True,33312.53888888889,1100.0,0.0111456629428699,False,0.0,1.0,0.0,1
5479,2043,False,55582.22602739726,200.0,0.0111456629428699,False,0.0,1.0,0.0,1
5170,4220,False,47302.54634146342,800.0,0.0016905015394354,False,0.0,0.0,1.0,1
6721,878,False,21575.68666666666,1100.0,0.0024033917528557,False,0.0,1.0,0.0,1
7259,3004,True,54652.89818181817,900.0,-0.0026637029144583,False,0.0,1.0,0.0,1
5285,6578,False,25900.31960784314,900.0,0.002416541617134,False,0.0,1.0,0.0,1
5189,3105,False,36845.58888888889,200.0,0.0007139363010166,False,0.0,1.0,0.0,1
6650,4110,False,46576.27755102041,900.0,0.0006117305449295,False,1.0,0.0,0.0,-1
7226,5493,True,44735.43125,300.0,0.0051556907327386,False,0.0,1.0,0.0,1
6087,5011,False,45854.89090909091,800.0,-0.0006010084453394,False,0.0,1.0,0.0,1
7262,5073,False,33229.107692307705,500.0,0.003202156021792,False,0.0,1.0,0.0,1
5519,7636,True,40976.94285714286,700.0,0.0016905015394354,False,0.0,1.0,0.0,1
6577,2154,False,58226.50490196079,600.0,-0.0013431315033809,True,0.0,1.0,0.0,1
6509,2307,False,46061.31938775511,200.0,-0.001111116748436,False,0.0,1.0,0.0,1
6520,3800,True,32558.533333333333,700.0,-0.0017014888027023,False,0.0,1.0,0.0,1
6699,319,True,46444.63950617283,600.0,0.0007852574251155,False,0.0,1.0,0.0,1
6336,5900,False,51034.361971830986,300.0,0.0019685039370078,False,0.0,0.0,1.0,1
7055,2785,True,63707.62658227849,1100.0,0.0012835648783702,False,0.0,1.0,0.0,1
6103,2489,False,29069.11607142857,500.0,0.001505596272939,False,0.0,0.0,1.0,1
6202,5432,False,47426.55000000001,900.0,-0.0001462143768609,False,0.0,1.0,0.0,1
7066,5983,False,32702.726666666666,1000.0,-0.0017014888027023,False,0.0,1.0,0.0,-1
6696,1484,True,30045.4,800.0,0.0008751556767309,False,0.0,1.0,0.0,1
6072,5388,False,63579.21724137931,800.0,-0.0020519896339144,False,1.0,0.0,0.0,1
5130,2026,False,29380.839743589742,1100.0,0.0004151983903077,False,0.0,1.0,0.0,1
5568,4542,True,44602.64166666666,1100.0,0.0054949828417531,False,0.0,1.0,0.0,1
6678,6695,True,61531.5903846154,1100.0,0.0111456629428699,False,0.0,1.0,0.0,1
6998,8136,False,53379.12769230769,1100.0,0.0005321876784038,False,0.0,1.0,0.0,1
6580,4085,False,49143.9659574468,900.0,0.0036490923025886,False,0.0,1.0,0.0,1
6316,6409,False,52890.4039215686,1100.0,0.0043230837997771,False,0.0,1.0,0.0,-1
6512,1319,False,22551.779268292685,500.0,0.002416541617134,False,0.0,1.0,0.0,1
6407,1081,False,56927.45405405405,600.0,-0.0082090181205225,False,0.0,1.0,0.0,1
5002,8734,True,38709.82999999999,500.0,-0.0011443829868395,False,0.0,1.0,0.0,1
